txid,bookingdate,issuercountrycode,txvariantcode,bin,amount,currencycode,shoppercountrycode,shopperinteraction,simple_journal,cardverificationcodesupplied,cvcresponsecode,creationdate,accountcode,mail_id,ip_id,card_id
154,2016-01-13 21:18:39,MX,visaclassic,477291,79900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-31 03:19:57,MexicoAccount,email74278,ip113853,card171609
155,2016-03-03 22:44:33,MX,visaclassic,493172,149900,MXN,MX,Ecommerce,Chargeback,TRUE,0,2015-10-31 04:21:55,MexicoAccount,email164253,ip61257,card216742
45081,2015-11-09 15:24:01,AU,mccredit,552033,36000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-01 14:13:21,APACAccount,email34521,ip2950,card267106
45082,2015-11-09 15:24:54,AU,mccredit,550201,15000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-03 08:57:18,APACAccount,email199771,ip116906,card142412
45083,2015-11-09 15:24:46,AU,mccredit,552033,23100,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-04 03:41:15,APACAccount,email201150,ip28147,card208560
45084,2015-11-09 15:22:34,AU,mccredit,522980,52000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-06 02:08:36,APACAccount,email93587,ip158996,card115256
45085,2015-11-09 15:24:52,AU,mccredit,516310,15350,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-10 09:41:21,APACAccount,email335877,ip53862,card110886
45086,2015-11-09 15:24:43,AU,mccredit,552350,25700,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-10 14:00:32,APACAccount,email79632,ip3802,card138883
45087,2015-11-09 15:24:43,AU,mccredit,521729,26000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-12 17:27:00,APACAccount,email143990,ip114436,card192078
45088,2015-11-09 15:22:35,AU,visasignature,414726,50000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-12 20:59:23,APACAccount,email91463,ip23140,card108925
45089,2015-11-09 15:24:57,AU,mccredit,516361,11850,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-13 08:55:38,APACAccount,email331335,ip38807,card29834
45090,2015-11-09 15:24:53,AU,visadebit,401795,15300,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-13 16:40:27,APACAccount,email312815,ip24698,card258507
45091,2015-11-09 15:24:42,AU,visaclassic,494052,26000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-15 18:10:56,APACAccount,email111048,ip6117,card151236
45092,2015-11-09 15:22:32,AU,visaplatinum,455701,59000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-16 02:44:37,APACAccount,email338986,ip20318,card82080
45093,2015-11-09 15:24:49,AU,visabusiness,429318,18000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-21 19:57:02,APACAccount,email223841,ip160005,card58916
45094,2015-08-28 15:23:14,AU,visasignature,414726,36000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-21 20:18:23,APACAccount,email240011,ip32073,card126896
45095,2015-11-09 15:24:04,AU,mccredit,552033,33000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-22 06:49:02,APACAccount,email208861,ip29560,card11959
45096,2015-11-09 15:24:48,AU,mccredit,552033,18500,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-22 15:51:09,APACAccount,email208861,ip29560,card11959
45097,2015-11-09 15:24:57,AU,mccredit,552033,12750,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-23 04:17:45,APACAccount,email208861,ip29560,card11959
45098,2015-11-09 15:24:04,AU,mccredit,552350,33000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-24 01:36:50,APACAccount,email259430,ip130088,card46849
45099,2015-11-09 15:22:45,AU,mccredit,532655,3850,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-25 09:27:21,APACAccount,email306502,ip24135,card18584
45100,2015-11-09 15:22:28,AU,visabusiness,455704,82300,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-28 04:16:49,APACAccount,email227822,ip17642,card237632
45101,2015-11-09 15:24:46,AU,visaclassic,494052,23000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-28 19:06:53,APACAccount,email293014,ip145442,card93938
45102,2015-08-28 15:23:15,AU,visasignature,414726,26000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-28 22:20:06,APACAccount,email36571,ip25981,card9205
45103,2015-08-28 15:23:15,AU,visagold,494053,36000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-07-29 01:39:03,APACAccount,email118325,ip131461,card161666
45104,2015-11-09 15:22:39,AU,mccredit,552033,45300,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-01 14:28:16,APACAccount,email254888,ip4,card200829
45105,2015-11-09 15:24:50,AU,mccredit,535316,17000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-02 19:15:56,APACAccount,email232674,ip23988,card82287
45106,2015-11-09 15:24:54,AU,visaclassic,456450,14850,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-04 12:42:26,APACAccount,email336233,ip157438,card16444
45107,2015-12-11 15:22:15,AU,visaclassic,456471,29800,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-05 05:58:31,APACAccount,email41603,ip146508,card25081
45108,2015-11-09 15:24:51,AU,visaplatinum,455701,16000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-08 01:31:02,APACAccount,email191102,ip611,card134068
45109,2015-11-09 15:24:48,AU,mccredit,521729,20000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-08 06:16:23,APACAccount,email237726,ip146581,card43348
45110,2015-11-09 15:22:43,AU,visaclassic,494052,41000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-08 15:38:49,APACAccount,email118183,ip132796,card216538
45111,2015-11-09 15:24:51,BR,visa,406669,16000,AUD,BR,Ecommerce,Chargeback,TRUE,0,2015-08-09 02:48:24,APACAccount,email105510,ip114283,card147190
45112,2015-11-09 15:22:38,AU,mccredit,552033,47500,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-10 09:18:13,APACAccount,email307610,ip137,card153046
45113,2015-11-09 15:22:44,AU,mccredit,552033,40000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-10 16:36:26,APACAccount,email336981,ip22420,card154667
45114,2015-11-09 15:24:02,AU,mccredit,531355,34000,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-11 02:27:27,APACAccount,email330564,ip158889,card255587
45115,2015-11-09 15:24:55,AU,mccredit,544434,13850,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-11 08:14:55,APACAccount,email20370,ip33928,card223178
45116,2015-11-09 15:24:08,AU,mccredit,535316,29500,AUD,AU,Ecommerce,Chargeback,TRUE,0,2015-08-12 09:08:25,APACAccount,email67328,ip55261,card211875
